,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
8015,42,technician,single,tertiary,no,-411,yes,no,cellular,24,jul,212,3,-1,0,unknown,no
4282,27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,2,356,1,failure,yes
2232,31,technician,single,tertiary,no,882,no,no,cellular,3,jun,411,1,-1,0,unknown,yes
4789,60,admin.,divorced,secondary,no,-41,yes,yes,cellular,6,feb,1658,1,262,1,failure,yes
4211,30,technician,single,tertiary,no,3291,yes,no,unknown,19,may,1218,3,-1,0,unknown,yes
3492,29,student,single,unknown,no,2929,no,no,cellular,5,may,232,1,89,4,other,yes
7668,43,blue-collar,married,primary,no,1401,yes,no,unknown,12,may,195,2,-1,0,unknown,no
4239,61,retired,married,secondary,no,938,no,no,cellular,15,jul,392,2,183,3,success,yes
11131,55,technician,married,secondary,no,276,yes,no,unknown,12,may,486,1,-1,0,unknown,no
6630,45,entrepreneur,divorced,tertiary,no,1273,yes,yes,cellular,20,nov,206,2,162,3,failure,no
9559,42,blue-collar,married,secondary,no,-755,yes,yes,unknown,2,jun,312,1,-1,0,unknown,no
1420,36,blue-collar,single,secondary,no,1822,yes,no,cellular,8,apr,952,1,323,1,other,yes
10394,37,blue-collar,married,secondary,no,-4,yes,yes,unknown,29,may,381,1,-1,0,unknown,no
10727,47,admin.,single,primary,no,683,no,no,cellular,20,nov,101,1,-1,0,unknown,no
6492,38,management,divorced,tertiary,no,76,no,no,cellular,30,jan,220,3,-1,0,unknown,no
6294,38,management,single,tertiary,no,1704,no,no,cellular,1,sep,222,1,-1,0,unknown,no
8367,30,blue-collar,divorced,secondary,yes,457,yes,no,unknown,20,jun,115,20,-1,0,unknown,no
1443,35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,214,1,-1,0,unknown,yes
7219,30,management,single,tertiary,no,349,no,no,cellular,12,aug,180,3,-1,0,unknown,no
2856,47,management,single,tertiary,no,551,no,no,cellular,29,oct,124,1,-1,0,unknown,yes
4497,54,housemaid,married,tertiary,no,2473,no,no,cellular,5,mar,607,2,-1,0,unknown,yes
4248,61,retired,divorced,primary,no,3624,no,no,cellular,25,nov,342,1,-1,0,unknown,yes
7226,41,management,divorced,tertiary,no,4567,yes,yes,cellular,16,jul,106,1,-1,0,unknown,no
3891,61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,yes
619,44,blue-collar,married,secondary,no,0,no,no,cellular,30,jul,684,2,-1,0,unknown,yes
4894,20,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
5919,51,housemaid,married,primary,no,289,no,no,unknown,14,may,97,5,-1,0,unknown,no
659,55,retired,married,secondary,no,0,no,no,cellular,4,aug,1110,1,-1,0,unknown,yes
7137,57,entrepreneur,married,unknown,no,975,yes,yes,cellular,22,jul,236,4,-1,0,unknown,no
3824,48,housemaid,single,primary,no,46,no,no,cellular,4,aug,118,1,1,3,success,yes
2477,48,unemployed,divorced,secondary,no,201,no,no,cellular,11,aug,140,1,-1,0,unknown,yes
7671,37,entrepreneur,married,secondary,no,-170,yes,no,unknown,28,may,39,1,-1,0,unknown,no
8693,53,blue-collar,married,secondary,no,2,yes,no,unknown,16,may,851,2,-1,0,unknown,no
9354,41,blue-collar,married,secondary,no,0,yes,no,cellular,1,apr,625,2,-1,0,unknown,no
858,47,blue-collar,married,unknown,yes,162,no,no,cellular,25,aug,366,3,-1,0,unknown,yes
5054,33,blue-collar,single,primary,no,611,no,no,telephone,16,sep,390,2,-1,0,unknown,yes
9319,36,admin.,single,secondary,no,1281,no,no,telephone,24,jul,119,2,-1,0,unknown,no
7890,49,blue-collar,married,secondary,no,298,yes,no,cellular,3,feb,392,3,-1,0,unknown,no
5680,32,technician,single,tertiary,no,720,no,no,cellular,12,aug,234,4,-1,0,unknown,no
3564,28,technician,married,secondary,no,742,no,no,cellular,26,may,236,1,-1,0,unknown,yes
4993,57,unknown,married,unknown,no,19268,no,no,unknown,23,oct,301,1,-1,0,unknown,yes
306,36,entrepreneur,married,tertiary,no,3057,no,no,unknown,16,jun,2769,4,-1,0,unknown,yes
9086,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
1147,41,blue-collar,married,primary,no,201,yes,no,cellular,3,feb,157,1,-1,0,unknown,yes
2739,58,retired,married,primary,no,565,no,no,telephone,8,oct,153,1,93,1,success,yes
8502,29,admin.,single,secondary,no,1992,no,no,cellular,12,apr,119,2,-1,0,unknown,no
6809,40,retired,married,tertiary,no,794,no,no,unknown,9,may,138,1,-1,0,unknown,no
5753,35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,no
1911,59,admin.,married,secondary,no,145,yes,no,telephone,12,may,556,2,287,13,success,yes
1545,28,management,single,secondary,no,2840,no,no,cellular,20,apr,227,5,-1,0,unknown,yes
10945,29,management,married,tertiary,no,16,yes,no,cellular,16,jul,605,6,-1,0,unknown,no
7336,40,admin.,divorced,secondary,no,274,yes,yes,cellular,25,jul,53,4,-1,0,unknown,no
689,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,-1,0,unknown,yes
2549,26,management,single,tertiary,no,828,yes,no,cellular,17,aug,156,1,199,1,failure,yes
9359,33,services,married,secondary,no,1082,yes,yes,cellular,19,nov,351,1,-1,0,unknown,no
6748,40,management,married,tertiary,no,964,yes,no,telephone,13,may,95,3,-1,0,unknown,no
7396,46,management,married,tertiary,no,716,yes,yes,cellular,8,may,557,1,172,1,failure,no
10250,54,admin.,divorced,secondary,no,0,yes,yes,cellular,4,feb,330,1,182,3,success,no
7373,37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223,2,-1,0,unknown,no
964,46,management,married,secondary,no,0,no,no,cellular,18,nov,1855,1,-1,0,unknown,yes
7542,35,services,married,secondary,no,1728,yes,no,cellular,17,apr,865,1,-1,0,unknown,no
2590,37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,yes
10996,53,technician,divorced,unknown,no,629,yes,no,cellular,8,may,298,1,-1,0,unknown,no
3342,38,management,married,unknown,no,76,no,no,cellular,16,mar,261,1,-1,0,unknown,yes
2096,27,technician,divorced,secondary,no,1977,yes,no,cellular,22,may,449,1,-1,0,unknown,yes
4704,59,management,married,tertiary,no,315,no,no,cellular,2,mar,591,1,176,2,failure,yes
7102,40,self-employed,married,secondary,no,311,yes,no,unknown,20,may,723,2,-1,0,unknown,no
4792,40,technician,single,tertiary,no,1175,no,no,cellular,14,apr,184,1,-1,0,unknown,yes
217,43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes
7378,47,housemaid,divorced,primary,no,61,no,no,cellular,29,jul,69,5,-1,0,unknown,no
342,47,technician,married,tertiary,no,1694,no,yes,unknown,20,jun,560,3,-1,0,unknown,yes
4084,54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,541,3,success,yes
5461,34,entrepreneur,married,tertiary,no,121,yes,no,telephone,18,may,57,6,-1,0,unknown,no
3176,27,management,single,tertiary,no,390,no,no,cellular,9,feb,120,2,104,2,failure,yes
6838,44,admin.,divorced,secondary,no,-43,yes,yes,cellular,20,apr,206,1,-1,0,unknown,no
5218,30,services,married,secondary,no,517,no,no,cellular,11,dec,141,2,-1,0,unknown,yes
9716,34,admin.,married,secondary,no,560,yes,no,unknown,5,may,198,3,-1,0,unknown,no
10228,48,blue-collar,married,primary,no,214,yes,yes,cellular,18,nov,246,1,162,1,failure,no
6136,34,blue-collar,married,unknown,no,391,yes,yes,unknown,23,may,34,2,-1,0,unknown,no
4189,36,technician,single,secondary,no,27,yes,no,cellular,9,feb,631,1,260,2,success,yes
8134,26,blue-collar,single,secondary,no,8,yes,no,cellular,13,may,167,1,-1,0,unknown,no
9824,31,admin.,single,secondary,no,1129,yes,no,cellular,18,may,145,3,-1,0,unknown,no
3004,79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,275,9,success,yes
3432,38,technician,single,secondary,no,1711,no,no,cellular,20,apr,379,3,202,1,success,yes
7986,53,blue-collar,married,primary,no,4641,no,no,unknown,16,jun,356,2,-1,0,unknown,no
5921,45,admin.,married,secondary,no,434,no,no,cellular,26,aug,76,4,-1,0,unknown,no
6625,59,admin.,married,secondary,no,2145,no,no,telephone,17,nov,273,2,-1,0,unknown,no
4264,51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,-1,0,unknown,yes
2811,76,retired,married,tertiary,no,2991,no,no,cellular,22,oct,344,1,183,1,success,yes
4476,45,technician,married,secondary,no,0,yes,no,cellular,7,dec,344,1,-1,0,unknown,yes
1326,57,management,married,tertiary,no,256,no,no,cellular,6,mar,227,1,-1,0,unknown,yes
10248,35,management,single,tertiary,no,687,yes,no,unknown,30,may,166,2,-1,0,unknown,no
5757,32,management,married,tertiary,no,141,yes,no,cellular,4,may,78,3,89,9,success,no
7579,48,admin.,married,secondary,no,476,no,no,unknown,5,jun,489,3,-1,0,unknown,no
2619,55,management,married,unknown,no,1504,yes,no,cellular,31,aug,186,3,101,2,success,yes
7060,36,student,married,primary,no,3503,no,no,unknown,6,jun,31,1,-1,0,unknown,no
8316,32,technician,married,secondary,no,255,no,yes,cellular,25,aug,63,5,-1,0,unknown,no
4204,55,technician,married,tertiary,no,1320,no,no,cellular,28,jul,340,1,91,2,success,yes
5630,44,services,divorced,secondary,no,240,yes,no,unknown,8,may,155,2,-1,0,unknown,no
4089,63,entrepreneur,married,secondary,no,3904,no,no,telephone,8,nov,360,1,96,4,success,yes
2182,54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,success,yes
10617,41,technician,married,secondary,no,1788,no,no,cellular,28,aug,222,1,-1,0,unknown,no
218,27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,2,-1,0,unknown,yes
1432,27,student,single,secondary,no,2614,no,no,cellular,8,apr,143,2,-1,0,unknown,yes
8994,38,management,single,tertiary,no,1637,no,yes,cellular,5,aug,231,1,-1,0,unknown,no
545,25,blue-collar,single,secondary,no,-247,yes,no,cellular,23,jul,633,1,-1,0,unknown,yes
4352,43,management,single,tertiary,no,2081,no,no,cellular,22,oct,554,3,-1,0,unknown,yes
10097,38,management,married,unknown,no,1349,yes,no,unknown,6,may,100,1,-1,0,unknown,no
10491,46,admin.,divorced,secondary,no,1198,yes,yes,cellular,7,apr,837,1,307,1,other,no
8073,34,management,single,tertiary,no,2555,yes,no,cellular,26,may,129,2,-1,0,unknown,no
3830,53,management,married,tertiary,no,3591,yes,no,cellular,5,aug,306,2,181,2,other,yes
7800,40,services,divorced,primary,no,4,yes,no,cellular,7,may,171,2,-1,0,unknown,no
5387,53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,no
1953,38,blue-collar,married,primary,no,4406,yes,no,telephone,13,may,689,2,-1,0,unknown,yes
5819,28,management,single,tertiary,no,385,no,yes,cellular,9,feb,79,4,193,7,failure,no
649,53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,727,4,-1,0,unknown,yes
5988,31,blue-collar,single,secondary,no,530,no,yes,cellular,18,nov,251,2,-1,0,unknown,no
4139,32,technician,single,secondary,no,324,no,yes,cellular,23,feb,432,1,-1,0,unknown,yes
1885,40,blue-collar,married,secondary,no,1808,yes,no,cellular,12,may,560,1,-1,0,unknown,yes
4636,28,technician,single,secondary,no,5763,no,yes,cellular,5,mar,196,2,-1,0,unknown,yes
1140,57,admin.,married,secondary,no,169,no,no,cellular,3,feb,369,1,-1,0,unknown,yes
9457,40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7,8,185,1,failure,no
5558,36,services,single,primary,no,38,no,no,unknown,6,jun,308,4,-1,0,unknown,no
8697,35,self-employed,divorced,secondary,no,3443,no,no,cellular,30,jul,409,4,-1,0,unknown,no
6764,35,technician,married,secondary,no,149,yes,no,cellular,29,jan,99,1,245,2,failure,no
4611,43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
867,59,retired,married,secondary,no,2396,no,no,cellular,27,aug,1040,6,-1,0,unknown,yes
4496,46,services,married,secondary,no,2948,no,no,cellular,21,nov,893,1,-1,0,unknown,yes
7992,31,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,59,4,-1,0,unknown,no
3655,41,admin.,married,secondary,no,3126,yes,no,cellular,29,jun,222,1,91,7,failure,yes
6731,38,technician,married,tertiary,no,127,yes,no,cellular,14,oct,113,1,50,2,success,no
8228,41,housemaid,married,primary,no,46,no,no,cellular,22,aug,268,1,-1,0,unknown,no
8976,44,admin.,married,secondary,no,0,no,no,cellular,31,jul,209,1,-1,0,unknown,no
6823,40,housemaid,divorced,secondary,no,4328,no,no,cellular,20,aug,133,2,-1,0,unknown,no
38,38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
728,36,technician,divorced,secondary,no,1,no,no,cellular,8,aug,1242,3,-1,0,unknown,yes
4232,42,services,divorced,secondary,no,257,yes,no,cellular,12,may,955,2,-1,0,unknown,yes
7510,54,management,married,primary,no,366,yes,no,unknown,15,may,589,1,-1,0,unknown,no
6802,25,admin.,single,secondary,no,120,yes,no,unknown,3,jun,542,1,-1,0,unknown,no
8605,39,blue-collar,married,primary,no,2226,yes,no,unknown,6,may,158,1,-1,0,unknown,no
763,40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,3,-1,0,unknown,yes
1201,33,management,married,tertiary,no,158,no,no,cellular,6,feb,192,2,-1,0,unknown,yes
7499,34,admin.,married,secondary,no,430,yes,no,cellular,21,jul,82,4,-1,0,unknown,no
687,34,services,married,secondary,no,2956,no,no,cellular,6,aug,835,2,-1,0,unknown,yes
3782,57,technician,married,tertiary,no,1181,no,no,cellular,29,jul,169,2,182,2,success,yes
10098,49,services,married,primary,no,5737,yes,no,unknown,29,may,417,2,-1,0,unknown,no
10283,59,management,married,tertiary,no,1585,no,no,telephone,28,aug,91,5,-1,0,unknown,no
4730,37,management,married,tertiary,no,0,no,no,cellular,15,jan,426,2,196,1,other,yes
9785,48,self-employed,married,secondary,no,91,no,no,cellular,21,aug,136,8,-1,0,unknown,no
4302,45,blue-collar,divorced,primary,no,-207,no,no,cellular,15,jul,878,2,-1,0,unknown,yes
2262,32,management,married,tertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other,yes
6058,53,management,married,secondary,no,2693,no,no,cellular,21,nov,140,1,-1,0,unknown,no
717,35,management,married,tertiary,no,82,no,no,cellular,8,aug,507,4,-1,0,unknown,yes
7052,36,management,married,tertiary,no,8564,yes,no,unknown,23,may,125,1,-1,0,unknown,no
5080,55,management,married,unknown,no,1504,yes,no,cellular,22,may,338,2,-1,0,unknown,yes
3925,43,admin.,single,secondary,no,1707,yes,no,cellular,6,sep,369,3,504,5,other,yes
10218,31,technician,married,tertiary,no,11,no,no,cellular,27,aug,651,2,-1,0,unknown,no
3949,31,management,married,tertiary,no,877,no,no,cellular,9,sep,209,1,92,8,success,yes
3449,26,management,single,tertiary,no,222,no,no,cellular,26,apr,192,1,334,1,failure,yes
1748,45,blue-collar,married,secondary,no,10252,no,no,cellular,4,may,675,2,-1,0,unknown,yes
9137,49,admin.,married,secondary,no,1047,no,no,cellular,8,aug,133,4,-1,0,unknown,no
4964,50,technician,divorced,secondary,no,396,no,no,unknown,20,jun,716,2,-1,0,unknown,yes
5039,64,retired,divorced,primary,no,315,no,no,cellular,17,feb,154,1,-1,0,unknown,yes
1297,42,services,married,secondary,no,1376,yes,no,cellular,2,mar,712,4,-1,0,unknown,yes
3666,28,student,single,secondary,no,196,no,no,cellular,2,jul,423,3,-1,0,unknown,yes
9553,43,admin.,single,secondary,no,6,no,no,cellular,4,feb,58,1,264,1,failure,no
5334,56,unemployed,married,secondary,no,660,yes,no,unknown,6,jun,72,3,-1,0,unknown,no
1085,37,admin.,single,secondary,no,1097,yes,no,cellular,21,nov,1555,2,-1,0,unknown,yes
8456,40,entrepreneur,married,tertiary,no,1953,yes,no,unknown,6,jun,112,5,-1,0,unknown,no
287,58,admin.,married,secondary,no,826,no,no,unknown,12,jun,885,1,-1,0,unknown,yes
2090,45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,may,582,1,95,2,success,yes
1429,33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,1,141,3,other,yes
8918,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
6244,52,services,married,unknown,no,482,yes,yes,cellular,28,jul,83,7,-1,0,unknown,no
7887,38,services,married,secondary,no,133,yes,no,unknown,27,may,267,1,-1,0,unknown,no
2694,50,housemaid,married,secondary,no,388,no,no,cellular,15,sep,173,2,99,4,failure,yes
3300,73,retired,single,secondary,no,1050,no,no,cellular,4,mar,562,3,181,2,failure,yes
3399,55,management,married,tertiary,no,3848,yes,no,cellular,8,apr,222,2,-1,0,unknown,yes
8724,49,management,married,tertiary,no,322,no,no,cellular,6,aug,72,4,-1,0,unknown,no
415,30,blue-collar,single,secondary,no,155,yes,yes,cellular,9,jul,1426,3,-1,0,unknown,yes
8713,35,technician,single,secondary,no,4645,yes,no,cellular,11,jan,502,3,270,40,other,no
1628,31,technician,single,tertiary,no,1081,no,no,cellular,24,apr,202,5,261,2,failure,yes
10594,38,admin.,divorced,secondary,no,407,yes,yes,cellular,19,aug,89,1,-1,0,unknown,no
11036,54,housemaid,divorced,tertiary,no,9,no,yes,cellular,29,jul,136,3,-1,0,unknown,no
575,54,retired,married,secondary,no,1371,no,no,telephone,25,jul,1492,2,-1,0,unknown,yes
2836,44,management,single,tertiary,no,5063,no,no,cellular,27,oct,418,2,-1,0,unknown,yes
1684,37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown,yes
2896,35,management,single,tertiary,no,1228,no,no,cellular,9,nov,696,2,88,12,failure,yes
44,52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes
1329,23,management,single,tertiary,no,1506,no,no,cellular,9,mar,131,4,-1,0,unknown,yes
639,39,technician,single,secondary,no,391,no,yes,cellular,30,jul,962,4,-1,0,unknown,yes
1583,65,retired,married,tertiary,no,1973,no,no,telephone,21,apr,396,3,-1,0,unknown,yes
4535,46,admin.,single,tertiary,no,2889,yes,no,cellular,5,may,494,1,-1,0,unknown,yes
6452,27,technician,single,secondary,no,740,yes,no,cellular,5,may,294,1,-1,0,unknown,no
9015,71,retired,married,secondary,no,3,no,no,cellular,13,aug,1175,3,189,1,other,no
3077,62,blue-collar,married,secondary,no,180,no,no,cellular,14,jan,183,1,90,4,other,yes
3251,53,management,married,tertiary,no,597,no,no,unknown,22,feb,392,1,-1,0,unknown,yes
1356,37,admin.,single,tertiary,no,1000,yes,no,cellular,17,mar,195,1,-1,0,unknown,yes
5241,35,admin.,married,secondary,no,2374,yes,no,cellular,11,aug,765,2,183,5,success,yes
8069,38,blue-collar,single,primary,no,947,yes,no,cellular,12,may,361,2,-1,0,unknown,no
5424,39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown,no
3423,36,management,married,tertiary,no,-115,yes,no,cellular,16,apr,297,4,182,2,other,yes
234,30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes
3463,64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success,yes
2802,92,retired,married,unknown,no,775,no,no,cellular,22,oct,313,3,-1,0,unknown,yes
9921,42,technician,single,secondary,no,823,yes,no,cellular,28,jan,137,1,-1,0,unknown,no
847,46,entrepreneur,married,tertiary,no,1920,no,no,cellular,22,aug,604,6,-1,0,unknown,yes
280,59,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,1,-1,0,unknown,yes
8326,37,blue-collar,married,secondary,no,194,yes,no,unknown,12,may,566,7,-1,0,unknown,no
8353,28,management,single,tertiary,no,334,yes,no,unknown,14,may,438,4,-1,0,unknown,no
2000,26,services,married,secondary,no,77,yes,no,cellular,15,may,619,1,340,4,failure,yes
3645,48,management,single,tertiary,no,86,no,no,cellular,28,jun,281,3,186,6,other,yes
5465,36,blue-collar,married,primary,no,21,no,no,telephone,20,nov,35,1,-1,0,unknown,no
3716,86,retired,married,primary,no,1255,no,no,telephone,14,jul,247,1,180,3,success,yes
3419,36,blue-collar,married,primary,no,1177,no,no,cellular,15,apr,330,1,311,4,success,yes
2733,44,management,married,unknown,no,282,no,no,cellular,6,oct,296,3,-1,0,unknown,yes
6554,36,management,married,tertiary,no,396,no,no,cellular,13,aug,67,5,-1,0,unknown,no
7915,32,entrepreneur,divorced,secondary,no,-934,yes,no,cellular,18,nov,50,1,-1,0,unknown,no
1282,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,-1,0,unknown,yes
5658,31,blue-collar,single,secondary,no,1205,yes,no,cellular,16,apr,462,1,328,2,other,no
10870,52,blue-collar,married,primary,no,4793,yes,no,unknown,6,jun,176,2,-1,0,unknown,no
7313,52,technician,married,secondary,no,930,yes,no,unknown,2,jun,94,16,-1,0,unknown,no
82,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes
8834,60,entrepreneur,married,primary,no,83,yes,no,cellular,17,jul,302,2,-1,0,unknown,no
7366,44,management,married,tertiary,no,445,no,yes,telephone,6,feb,135,2,9,7,other,no
2038,36,admin.,single,secondary,no,148,yes,no,cellular,15,may,1357,4,374,2,failure,yes
10084,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,no
4329,29,blue-collar,married,secondary,no,940,yes,yes,cellular,15,may,382,1,-1,0,unknown,yes
4919,37,technician,married,unknown,no,189,no,no,cellular,16,jun,162,2,-1,0,unknown,yes
2227,29,management,single,tertiary,no,3846,no,no,cellular,3,jun,313,2,-1,0,unknown,yes
9118,55,retired,married,secondary,no,102,yes,no,unknown,7,may,74,1,-1,0,unknown,no
3388,19,student,single,secondary,no,394,no,no,cellular,5,apr,327,3,-1,0,unknown,yes
2989,28,student,single,unknown,no,78,no,no,cellular,4,dec,232,3,310,2,failure,yes
3057,57,retired,married,secondary,no,1044,no,no,telephone,11,jan,585,1,192,2,success,yes
8504,49,services,married,secondary,no,66,yes,yes,cellular,21,nov,59,4,-1,0,unknown,no
8224,51,entrepreneur,divorced,tertiary,no,2109,no,no,cellular,12,apr,119,1,181,2,success,no
2624,48,management,divorced,tertiary,no,17964,yes,no,cellular,1,sep,120,1,98,5,success,yes
3119,54,admin.,married,secondary,no,0,no,no,cellular,28,jan,161,1,98,2,failure,yes
3600,30,blue-collar,single,secondary,no,799,no,no,unknown,13,jun,674,1,-1,0,unknown,yes
10360,60,blue-collar,married,secondary,no,2879,yes,no,cellular,5,aug,122,1,-1,0,unknown,no
2159,56,admin.,single,secondary,no,4118,no,no,telephone,27,may,165,1,-1,0,unknown,yes
6320,59,admin.,married,primary,no,879,yes,no,cellular,30,jan,126,5,259,7,failure,no
8038,51,technician,married,unknown,no,573,yes,yes,unknown,14,may,231,1,-1,0,unknown,no
6680,35,admin.,married,secondary,no,786,no,yes,cellular,25,jul,322,1,-1,0,unknown,no
7782,33,entrepreneur,married,tertiary,no,114,no,yes,cellular,28,jul,57,3,-1,0,unknown,no
5364,59,services,married,secondary,no,307,yes,yes,unknown,6,may,250,7,-1,0,unknown,no
7928,35,blue-collar,married,primary,no,0,no,no,cellular,31,jul,57,4,-1,0,unknown,no
3844,45,admin.,married,secondary,no,476,no,no,cellular,6,aug,356,1,364,1,other,yes
825,33,management,single,tertiary,no,432,no,no,telephone,20,aug,588,6,-1,0,unknown,yes
9773,77,retired,married,secondary,no,2123,no,no,telephone,4,feb,141,4,-1,0,unknown,no
11015,41,management,married,tertiary,no,141,yes,yes,unknown,8,may,146,3,-1,0,unknown,no
3922,52,management,married,unknown,no,1708,no,no,unknown,6,sep,310,1,75,4,failure,yes
401,40,blue-collar,married,primary,no,665,yes,no,cellular,9,jul,781,1,-1,0,unknown,yes
8777,46,services,divorced,unknown,no,973,no,no,cellular,2,feb,297,1,-1,0,unknown,no
6534,42,blue-collar,married,secondary,no,165,yes,no,unknown,23,may,333,2,-1,0,unknown,no
8629,54,services,married,secondary,no,171,no,yes,cellular,14,jul,673,8,-1,0,unknown,no
8392,83,retired,divorced,primary,no,4565,no,no,cellular,13,sep,175,2,-1,0,unknown,no
9576,37,blue-collar,married,secondary,no,288,yes,no,cellular,5,may,159,6,-1,0,unknown,no
6643,25,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504,3,-1,0,unknown,no
8496,31,admin.,single,secondary,no,523,no,yes,cellular,2,feb,323,1,109,5,failure,no
7916,52,blue-collar,married,tertiary,no,297,yes,no,unknown,7,may,55,1,-1,0,unknown,no
2764,75,retired,married,secondary,no,3771,no,no,telephone,16,oct,186,1,183,1,failure,yes
5514,26,admin.,single,secondary,no,1099,no,no,cellular,15,jan,99,2,225,13,other,no
8943,59,management,single,tertiary,no,68,yes,no,unknown,28,may,176,2,-1,0,unknown,no
5420,56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,538,2,188,4,failure,no
7030,37,management,married,tertiary,no,578,yes,no,cellular,8,aug,401,4,-1,0,unknown,no
6494,38,blue-collar,married,secondary,no,-210,yes,no,unknown,8,may,21,1,-1,0,unknown,no
2140,60,retired,married,tertiary,no,846,no,no,telephone,26,may,1346,1,-1,0,unknown,yes
5883,49,management,married,tertiary,no,4374,yes,no,cellular,31,jul,68,3,-1,0,unknown,no
1718,31,admin.,married,secondary,no,35,no,no,cellular,30,apr,615,1,-1,0,unknown,yes
9613,26,blue-collar,single,secondary,no,249,yes,no,cellular,29,jan,235,3,262,5,failure,no
1859,57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,1,367,1,success,yes
813,61,management,married,secondary,no,985,no,no,cellular,18,aug,998,6,-1,0,unknown,yes
10798,67,technician,married,secondary,no,0,no,no,cellular,13,aug,1152,2,188,1,success,no
135,44,technician,divorced,secondary,no,1262,yes,no,unknown,26,may,788,11,-1,0,unknown,yes
1897,35,blue-collar,single,secondary,no,855,yes,no,cellular,12,may,549,1,300,1,success,yes
6043,36,management,married,tertiary,no,1582,no,no,telephone,3,feb,26,2,197,1,failure,no
9297,32,housemaid,married,secondary,no,0,no,no,cellular,21,aug,435,2,-1,0,unknown,no
6292,44,blue-collar,married,unknown,no,15578,yes,no,unknown,29,may,401,1,-1,0,unknown,no
5830,33,blue-collar,married,secondary,no,263,yes,no,unknown,21,may,206,3,-1,0,unknown,no
9264,56,blue-collar,married,unknown,no,982,yes,yes,cellular,7,may,135,2,-1,0,unknown,no
8632,41,services,married,secondary,no,-140,no,yes,unknown,6,jun,190,1,-1,0,unknown,no
8711,44,blue-collar,single,primary,no,287,no,no,cellular,29,jan,301,1,-1,0,unknown,no
8898,58,management,married,secondary,no,37,no,no,cellular,18,aug,84,11,-1,0,unknown,no
5891,31,admin.,single,secondary,no,626,yes,no,unknown,21,may,211,1,-1,0,unknown,no
1288,25,admin.,single,tertiary,no,3730,yes,no,cellular,27,feb,353,1,-1,0,unknown,yes
3500,77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,yes
5139,32,technician,married,secondary,no,348,yes,no,cellular,17,jul,926,1,-1,0,unknown,yes
3858,56,technician,divorced,secondary,no,3450,no,no,cellular,10,aug,507,1,181,2,success,yes
1332,37,unemployed,single,tertiary,no,1316,yes,no,cellular,10,mar,350,2,112,3,failure,yes
1513,54,technician,married,secondary,no,3994,no,yes,cellular,16,apr,299,2,-1,0,unknown,yes
1740,33,technician,married,tertiary,no,0,no,no,cellular,30,apr,227,2,-1,0,unknown,yes
